stat, value, width, code, quant, switch
Rain, 991.39,6,I{Y*4CQ}SK,2185,Off
Shower, 851.26,8,C{I*0VG}QQ,1436,On
Hail, 685.92,7,W{U*1LE}RI,1533,On
Fog, 305.44,14,B{G*8AT}ZN,1864,On
Rain, 654.36,21,S{E*4VH}XG,422,On
Shower, 916.65,8,R{V*0SG}BZ,1627,On
Snow, 841.45,7,G{Y*7WO}FC,1927,On
Rain, 420.23,17,E{U*6HX}AM,1509,On
Moon, 461.00,19,S{T*5JC}FW,1258,Off
Sun, 661.09,14,O{=*8TO}VP,1233,On
Breeze,1024.34,16,C{I*5ON}IA,664,On
Cloud, 822.51,23,R{A*4BW}PR,1670,On
Snow,1155.29,23,V{N*2TP}AM,959,On
Fog, 262.82,7,S{A*M1JL}CB,2111,On
Fog,1012.51,7,M{K*2YX}NI,1081,On
Shower,1119.00,7,A{N*8KJ}XK,2171,On
Wind, 968.68,5,K{N*bTQ}MM,1604,On
Rain, 411.83,5,B{U*4XG}PN,1488,On
Wind, 294.44,6,F{K*1QR}KD,1966,On
Sleet, 320.10,17,A{L*5LL}TL,941,On
Rain,1048.47,6,L{A*7QU}QC,1207,On
Cloud,  59.65,5,D{S*2CL}KF,2155,On
Hail, 626.27,5,D{B*3AI}ZF,853,On
Breeze, 675.23,7,P{S*0FP}NO,2022,On
Rain, 482.26,15,O{U*6T}WQ,1415,Off
Sun,1123.77,9,){U*2HX}RO,1420,Off
Sun, 602.43,6,JsE*1UL}IG,2200,On
Moon, 187.59,5,J{K*1KT}RS,689,On
Shower,  83.12,24,H{W*9KC}=OE,1880,On
Breeze, 207.83,16,F{R*6LM}BO,1900,On
Snow, 989.97,7,W{)*8QL}EC,2089,On
Sun, 940.12,7,F{E*6DV}KH,667,Off
Rain, 350.95,20,D{L*2SZ}ZF,699,On
Cloud, 129.84,8,D7E*7BK}MU,55,On
Breeze, 824.99,8,I{L*0LV}OI,2172,On
Snow,1221.13,7,T{A*2JP}DF,2029,On
Breeze,1073.26,6,N{J*5LE}YV,2208,On
Moon, 841.13,19,A{H*1HX}XS,1410,On
Rain, 246.84,10,V{P*8VJ}TY,356,On
Cloud, 237.97,8,Y{J*9RP}NF,1597,On
Hail, 629.70,8,A{N*4BP}HY,2169,On
Snow, 567.50,8,C{J*2FA}AE,1012,On
Moon, 493.94,5,U{U*4MF}RE,1612,On
Sky, 345.52,5,G{K*0EY}TL,1905,On
Snow, 990.41,21,G{H*6VP}KW,1000,Off
Fog, 896.75,8,Y{F*3TN}GK,742,On
Sun,1126.37,8,B{K*2IQ}ZF,179,On
Breeze, 887.73,8,K{Q*0DW}GL,1944,On
Breeze, 113.64,7,J{P*0AT}HL,1711,On
Fog,1080.03,5,M{R*6IK}AS,2172,On
Fog,1025.47,7,X{I*7SS}NJ,1280,On
Shower,1161.87,6,B{G*nZZ}US,2223,On
Sun,1121.88,8,B{Y*3BC}QV,2009,On
Hail,1111.08,7,U{A*3FN}KF,1503,On
Cloud, 938.58,12,V{C*7BY}TS,1336,On
Hail, 572.38,7,H{Q*2NN}DR,1888,On
Breeze,1078.64,7,R{W*2ZC}WH,1442,On
Sleet,1039.91,5,A{K*6AM}WF,1446,Off
Rain,  60.39,16,I{O*0FK}FG,267,On
Cloud, 330.59,6,E{N*4ZP}XX,1663,On
Wind,1196.68,7,V{Z*9PG}NQ,2198,On
Cloud, 855.77,8,X{C*9JY}GO,1490,Off
Rain, 725.11,23,A{C5PP}MH,2149,On
Cloud, 787.93,7,X{E*6TH}WS,1653,On
Rain, 828.16,6,N{H*2B}VU,2018,On
Rain, 442.64,7,I{I*5ZZ}KB,1246,On
Snow,1101.07,7,L{N*8GZ}DA,367,On
Fog,  81.48,5,G{N*7DB}BZ,546,On
Fog, 653.59,8,H{Q*3DX}HQ,1071,On
Moon,1085.12,6,S{*5JG}FD,104,On
Fog,1191.13,5,P{U*7KV}PT,2147,On
Wind,1166.53,8,V{W*2YZ}CT,0,Off
Wind, 804.00,5,X{S*1HI}BP,166,On
Fog,1142.37,7,I{E*9QT}UC,2250,On
Shower, 996.84,5,F{W*1RN}YL,1291,On
Fog,1071.19,7,O{Q*08WE}QY,2289,On
Cloud, 968.94,5,O{T*3PR}PP,427,On
Hail, 444.31,6,U{L*0BE}8J,1808,On
Moon,1157.41,24,T{S*7PF}NO,960,On
Sleet, 892.72,5,P{W*6NJ}ME,2201,On
Sleet, 720.14,8,Y{J*1CB}MF,2122,On
Snow,1024.11,7,A{Q*7NQ}IQ,2014,On
Shower, 603.38,6,R{S*3VB}BM,638,On
Snow, 956.75,7,M{Q*0JE}OS,2270,Off
Wind, 254.79,5,YwK*5ZS}IY,1511,On
Fog,1044.93,5,R{R*6TBTW,2292,On
Sky, 914.58,5,X{M*1HL}WF,1224,On
Breeze, 477.18,6,W{Q*6AH}IN,2192,On
Fog, 644.95,5,V{S*8VN}QF,293,On
Fog, 126.81,5,B{R*9BK}QZ,1974,On
Fog, 466.64,5,O{H*6BY}OR,1591,On
Breeze, 780.82,22,Q{L*6XV}YC,1384,On
Rain,1219.05,5,N{U*9B(}VR,2068,On
Rain,  78.29,14,Z{P*3ZN}DK,1424,On
Rain, 882.92,6,S{R*6VG}AG,2247,On
Mist, 956.82,8,M{6*9YU}UT,1597,On
Shower, 676.88,8,M{X*8QA}WR,1275,On
Sleet,1108.39,6,T{F*1YY}BE,483,On
Wind, 976.97,5,H{Y*2OR}AV,328,On
Sun, 264.65,8,S{E*9Xb}LL,1807,On
Wind, 368.64,8,H{I*3LD}JY,25,On
Cloud, 482.08,5,C{S*8YS}XJ,819,On
Wind,1017.56,7,U{S*0NY}QL,789,On
Cloud, 386.98,7,H{5*4IK}BI,1524,On
Fog,  97.43,7,B{V*2MT}YV,2010,On
Rain,  38.90,7,V{F*4UL}SY,2023,On
Moon, 593.41,5,U{R*0BC}NU,1498,On
Wind, 859.60,5,U{Y*1XE}DY,1907,On
Snow, 571.09,8,J{Q*9UI}KN,635,On
Rain, 586.30,7,N{A*1LW}LN,2019,On
Sleet, 916.78,8,L{C**YY}GA,1419,On
Snow, 139.08,6,O{U*8GUqXX,1557,On
Snow, 445.30,6,JP{D*5SD}YV,1625,On
Shower, 688.62,18,Z{E*0WT}HE,1662,On
Rain, 313.77,6,C{N7LE}IE,967,On
Cloud, 349.26,6,N{F*0GT}GC,501,On
Snow, 688.02,21,D{T*2AG}YB,2140,Off
Cloud, 910.27,5,Y{O*1LN}PS,220,On
Sun,1209.13,16,O{X*5MW}XD,2241,On
Sleet, 549.29,7,K{W*)TL}YN,1903,On
Moon, 210.05,5,Z{A*9SD}IM,347,Off
Breeze, 154.48,5,L{Y*7AG}PB,768,On
Sun, 837.51,8,I{M*vOE}LY,1158,On
Rain, 250.05,6,F{L*9GF}LJ,2054,Off
Sun, 584.83,8,E{K*8NQ}OF,984,Off
Wind, 970.17,23,W{V*5TZ}EO,146,On
Fog,1167.09,7,LQ*4NZ}FH,590,On
Mist, 552.57,6,N{W*4IK}WK,1369,On
Shower,1129.64,6,U{K*4UU}FR,1151,Off
Cloud, 133.52,5,Z{A*9BA}XB,844,On
Fog,1121.92,5,E{E*8ZS}GE,661,On
Snow, 713.93,8,C{M*7ZP}UK,1770,On
Cloud,1168.83,12,Q{O*6LB}AU,1542,On
Snow, 265.83,16,M{V*1FS}ZT,478,On
Fog, 484.21,7,M{F*3AL}JH,847,On
Sleet, 420.16,7,Z{G*0PU}YB,852,On
Sleet,   9.97,11,Y{R*0WO}KI,411,Off
Cloud, 705.25,6,Z{R*6VJ}QS,2007,On
