stat, value, width, code, quant, switch
Rain, 580.08,8,R{B*8WJ}HR,1838,Off
Fog,1122.99,19,I{D*0YU}FX,221,On
Rain, 974.66,8,M{I*5EV}HY,976,On
Rain, 667.47,5,C{G*3ZP}LO,1949,On
Hail, 379.08,8,N{M*8WZ}EQ,1620,On
Rain,1058.58,5,J{K*0WZ}%LX,2215,Off
Cloud, 656.89,6,B{I*9TX}IT,1861,On
Wind,1199.07,6,D{B*0GH}WD,1842,On
Fog, 221.11,8,D{K*4OE}GD,1233,On
Sun, 505.49,7,B{D*0FF}TP,1731,On
Fog, 930.36,6,F{V*8LX}GB,1580,On
Fog,  95.74,8,{X*0TK}HR,83,Off
Cloud, 492.49,7,Q{H*5JQ}GJ,792,On
Rain, 464.95,6,J{W*2SJ}LZ,1581,On
Breeze, 776.52,8,FvJ*4SB}SH,1404,Off
Sleet, 517.32,8,N{F*0SX}FZ,742,On
Cloud, 991.50,8,C{X*5EO}OW,2012,On
Fog,1119.97,5,E{W*3WL}EO,1518,On
Cloud,1070.74,6,G{K*2NO}XD,388,On
Sun, 560.56,6,E{V*0TI}WJ,1765,On
